model,horizon,slope,slope_method,benchmark,score,release_date
gpt_2,4.128,0.6,,hcast_r_s,0.173,2019-02-14
o3,25064.118,0.6,,aime,0.9025,2025-04-16
gemini_2_5_pro_exp,14035.29,0.6,,aime,0.858,2025-03-28
xai_grok_3_mini_fast_beta_high_reasoning,14035.29,0.6,,aime,0.85,2025-02-18
claude_3_7_sonnet_thinking,14035.29,0.6,,aime,0.848,2025-02-24
o3_mini,14035.29,0.6,,aime,0.865,2025-01-31
xai_grok_3_beta,11568.516000000001,0.6,,aime,0.846,2025-02-18
deepseek_deepseek_r1,5339.526,0.6,,aime,0.74,2025-01-20
o1,4401.0779999999995,0.6,,aime,0.715,2024-12-05
xai_grok_3_mini_fast_beta_low_reasoning,3995.6459999999997,0.6,,aime,0.706,2025-02-18
claude_3_7_sonnet_nothinking,3293.394,0.6,,aime,0.68,2025-02-24
deepseek_v3_03_24_2025,1252.9260000000002,0.6,,aime,0.522,2025-03-24
gemini_2_0_flash_001,356.688,0.6,,aime,0.298,2025-02-05
deepseek_v3,294.0,0.6,,aime,0.275,2024-12-26
meta_llama_4_maverick,254.59199999999998,0.6,,aime,0.254,2025-04-05
meta_llama_4_scout,165.33,0.6,,aime,0.19,2025-04-04
gemini_1_5_pro_002,165.33,0.6,,aime,0.187,2024-09-24
gemini_1_5_flash_002,143.166,0.6,,aime,0.173,2024-09-24
meta_llama_3_3_instruct_turbo_70b,123.97800000000001,0.6,,aime,0.166,2024-12-06
xai_grok_2,123.97800000000001,0.6,,aime,0.152,2024-08-13
gpt_4o_2024_08_06,92.97,0.6,,aime,0.14,2024-08-06
cohere_command_a,92.97,0.6,,aime,0.133,2025-03-13
gpt_4o_2024_11_20,80.50800000000001,0.6,,aime,0.121,2024-11-20
claude_3_5_sonnet_latest,69.72,0.6,,aime,0.1,2024-10-22
mistral_large_11_2024,52.284,0.6,,aime,0.096,2024-11-01
mistral_small_02_2024,0.0,0.6,,aime,,2024-02-01
claude_3_5_haiku_latest,0.0,0.6,,aime,,2024-10-22
mistral_small_3_1_03_2025,0.0,0.6,,aime,,
ai21_jamba_1_6_mini,0.0,0.6,,aime,,2025-03-06
ai21_jamba_1_6_large,0.0,0.6,,aime,,2025-03-06
gemini_2_5_pro_exp,4655.112,0.6,,gpqa,0.803,2025-03-28
xai_grok_3_mini_fast_beta_high_reasoning,4191.414,0.6,,gpqa,0.79,2025-02-18
claude_3_7_sonnet_thinking,3397.98,0.6,,gpqa,0.753,2025-02-24
o3_mini,3059.508,0.6,,gpqa,0.75,2025-01-31
xai_grok_3_beta,2754.75,0.6,,gpqa,0.737,2025-02-18
o1,2754.75,0.6,,gpqa,0.73,2024-12-05
xai_grok_3_mini_fast_beta_low_reasoning,2754.75,0.6,,gpqa,0.727,2025-02-18
meta_llama_4_maverick,1810.518,0.6,,gpqa,0.677,2025-04-05
claude_3_7_sonnet,1810.518,0.6,,gpqa,0.674,2025-02-24
gemini_2_0_flash_001,1630.176,0.6,,gpqa,0.652,2025-02-05
deepseek_v3_03_24_2025,1189.938,0.6,,gpqa,0.611,2025-03-24
claude_3_5_sonnet_latest,1071.408,0.6,,gpqa,0.591,2024-10-22
gemini_1_5_pro_002,964.6859999999999,0.6,,gpqa,0.583,2024-09-24
deepseek_v3,782.0699999999999,0.6,,gpqa,0.54,2024-12-26
gpt_4o_0513,782.0699999999999,0.6,,gpqa,0.536,2024-05-13
gpt_4o_2024_11_20,704.172,0.6,,gpqa,0.53,2024-11-20
mistral_small_02_2024,634.026,0.6,,gpqa,0.508,2024-02-01
gpt_4o_2024_05_13,634.026,0.6,,gpqa,0.503,2024-05-01
claude_3_opus,634.026,0.6,,gpqa,0.504,2024-03-04
meta_llama_3_3_instruct_turbo_70b,570.87,0.6,,gpqa,0.5,2024-12-06
xai_grok_2,570.87,0.6,,gpqa,0.5,2024-08-13
gpt_4_turbo_0409,514.008,0.6,,gpqa,0.48,2024-04-09
gemini_1_5_pro_052024,416.706,0.6,,gpqa,0.462,2024-05-01
gemini_1_5_flash_002,416.706,0.6,,gpqa,0.46,2024-09-24
mistral_large_11_2024,416.706,0.6,,gpqa,0.452,2024-11-01
gpt_4o_mini,375.19800000000004,0.6,,gpqa,0.442,2024-07-18
meta_llama_4_scout,375.19800000000004,0.6,,gpqa,0.444,2025-04-04
mistral_small_3_1_03_2025,273.87600000000003,0.6,,gpqa,0.414,
gemini_1_5_pro_022024,273.87600000000003,0.6,,gpqa,0.414,2024-02-01
claude_3_sonnet,273.87600000000003,0.6,,gpqa,0.404,2024-03-04
claude_3_5_haiku_latest,222.03,0.6,,gpqa,0.379,2024-10-22
gemini_1_5_pro,222.03,0.6,,gpqa,0.395,2024-09-24
gpt_4_0314,155.874,0.6,,gpqa,0.357,2023-03-14
claude_3_haiku,101.22,0.6,,gpqa,0.333,2024-03-13
meta_llama_2_70b_chat,75.90599999999999,0.6,,gpqa,0.311,2023-07-18
gpt_3_5,56.922,0.6,,gpqa,0.293,2022-03-15
cohere_command_a,56.922,0.6,,gpqa,0.293,2025-03-13
cohere_command_r_plus,56.922,0.6,,gpqa,0.29,2024-04-04
ai21_jamba_1_6_large,0.0,0.6,,gpqa,,2025-03-06
ai21_jamba_1_6_mini,0.0,0.6,,gpqa,,2025-03-06
equact,105.50399999999999,0.6,,rlbench,0.894,2025-05-27
sam2act,82.33200000000001,0.6,,rlbench,0.868,2025-01-30
arp_,72.732,0.6,,rlbench,0.849,2024-10-04
3d_lotus,64.25399999999999,0.6,,rlbench,0.831,2024-10-02
rvt_2,50.142,0.6,,rlbench,0.814,2024-06-12
3d_diffuser_actor,50.142,0.6,,rlbench,0.813,2024-02-18
mini_diffuser,39.126,0.6,,rlbench,0.776,2025-05-14
sam_e,26.976,0.6,,rlbench,0.706,2024-05-30
act3d,18.594,0.6,,rlbench,0.65,2023-06-30
rvt,17.478,0.6,,rlbench,0.629,2023-06-26
polarnet,7.805999999999999,0.6,,rlbench,0.464,2023-09-27
hiveformer,7.338,0.6,,rlbench,0.453,2022-09-11
peract,6.4799999999999995,0.6,,rlbench,0.427,2022-09-12
c2farm_bc,1.77,0.6,,rlbench,0.201,2022-01-01
image_bc_vit,0.0,0.6,,rlbench,,2022-09-12
image_bc_cnn,0.0,0.6,,rlbench,,2022-09-12
10.3.x,0.0,,,tesla_fsd,,2021-10-25
10.4.x,0.0,,,tesla_fsd,,2021-11-08
10.5.x,0.0,,,tesla_fsd,,2021-11-23
10.6.x,0.0,,,tesla_fsd,,2021-12-12
10.8.x,1044.1767170006603,,,tesla_fsd,,2021-12-25
10.9.x,704.5637223574032,,,tesla_fsd,,2022-01-19
10.10.x,499.0659700031606,,,tesla_fsd,,2022-02-04
10.11.x,1288.2140350706584,,,tesla_fsd,,2022-04-06
10.12.x,836.2727064917827,,,tesla_fsd,,2022-05-31
10.69.x,840.817666853151,,,tesla_fsd,,2022-09-06
11.3.x,831.7766166719343,,,tesla_fsd,,2023-03-27
11.4.x,824.543776526961,,,tesla_fsd,,2023-05-24
12.2.x,221.80709777918247,,,tesla_fsd,,2024-02-21
12.3.x,1928.822532714918,,,tesla_fsd,,2024-03-15
12.4.x,0.0,,,tesla_fsd,,2024-07-11
12.5.x,2291.7109342545136,,,tesla_fsd,,2024-07-24
13.2.x,5590.901859331626,,,tesla_fsd,,2024-11-30
12.6.x,3564.756928594004,,,tesla_fsd,,2025-01-14
13.2.8,4011.0116848402167,,,tesla_fsd,,2025-02-19
claude_3_opus,385.36949999999996,0.551748,,hcast_r_s_full_method,0.377459,2024-03-04
claude_3_5_sonnet_latest,1739.01072,0.524556,,hcast_r_s_full_method,0.52701,2024-10-22
claude_3_5_sonnet_old,1093.0098,0.552429,,hcast_r_s_full_method,0.476797,2024-06-20
claude_3_7_sonnet,3253.58052,0.753789,,hcast_r_s_full_method,0.599681,2025-02-24
gpt_2,2.38752,0.49278,,hcast_r_s_full_method,0.101641,2019-02-14
gpt_4_0125,321.96378,0.640663,,hcast_r_s_full_method,0.351726,2024-01-25
gpt_4_0314,321.8427,0.560241,,hcast_r_s_full_method,0.361067,2023-03-14
gpt_4_1106,513.44598,0.541915,,hcast_r_s_full_method,0.404329,2023-11-06
gpt_4_turbo,394.04033999999996,0.657572,,hcast_r_s_full_method,0.367357,2023-11-06
gpt_4o_2024_05_13,550.2270000000001,0.568075,,hcast_r_s_full_method,0.407636,2024-05-01
davinci_002,8.9316,0.653157,,hcast_r_s_full_method,0.162822,2020-05-28
gpt_3_5_turbo_instruct,36.27084,0.76923,,hcast_r_s_full_method,0.215725,2023-09-18
o1,2352.3945599999997,0.510703,,hcast_r_s_full_method,0.55932,2024-12-05
o1_preview,1333.28142,0.611026,,hcast_r_s_full_method,0.494422,2024-09-12
o3,6678.20364,0.571223,,hcast_r_s_full_method,0.5782,2025-04-16
o4_mini,4670.74968,0.591306,,hcast_r_s_full_method,0.534356,2025-04-16
adaretake,1930828.8,0.0815,,video_mme,0.7963,
gemini_1_5_pro_002,1210428.144,0.0945,,video_mme,0.8097,2024-09-24
qwen_2_5_vl_72b,208127.226,0.0973,,video_mme,0.7777,2024-09-19
bytedance_llava_video_72b_qwen2,39971.658,0.1255,,video_mme,0.7697,2024-09-02
gpt_4o,37265.058,0.1297,,video_mme,0.7717,2024-05-13
oryx_1_5,21513.066000000003,0.1229,,video_mme,0.7493,
gemini_1_5_flash_002,17881.248,0.1234,,video_mme,0.7443,2024-09-24
vilamp,7183.9619999999995,0.1506,,video_mme,0.735,
aria,7016.652,0.1306,,video_mme,0.721,
tpo,5268.726,0.1361,,video_mme,0.715,
mplug_owl3,4586.844,0.0866,,video_mme,0.6807,
livecc,3997.7400000000002,0.132,,video_mme,0.7033,
internvl2_5,3704.76,0.2124,,video_mme,0.7403,
retake,3208.452,0.1169,,video_mme,0.6883,
gpt_4o_mini,3082.02,0.12,,video_mme,0.6887,2024-07-18
nvila,2700.558,0.1531,,video_mme,0.6997,
linvt,2335.992,0.1854,,video_mme,0.707,
quota,2160.108,0.1755,,video_mme,0.6997,
llava_onevision,1817.8799999999999,0.185,,video_mme,0.6953,
videollama_3,1799.6100000000001,0.2094,,video_mme,0.7027,
videochat_flash,1700.418,0.1451,,video_mme,0.679,
bytevideollm,1643.4479999999999,0.1771,,video_mme,0.688,
minicpm_o_2_6,1055.4660000000001,0.2312,,video_mme,0.679,
videollama_2,755.592,0.134,,video_mme,0.6467,
minicpm_v_2_6,524.448,0.18,,video_mme,0.6363,
gpt_4_vision,486.88199999999995,0.1725,,video_mme,0.6327,2023-11-06
