model,horizon,slope,slope_method,benchmark,score,release_date
o1_2024_12_17,3175.08,1.0596,,mock_aime,0.7333,2024-12-05
accounts_fireworks_models_deepseek_r1_0528,3116.304,0.5578,,mock_aime,0.6639,
gemini_2_0_flash_thinking_exp_01_21,1604.826,0.747,,mock_aime,0.5778,2025-01-21
claude_3_7_sonnet_20250219,1478.5259999999998,0.9722,,mock_aime,0.5778,2025-02-24
grok_3_beta,1344.066,0.9496,,mock_aime,0.5556,2025-04-09
accounts_fireworks_models_deepseek_r1,1308.564,0.6723,,mock_aime,0.5333,
deepseek_r1_distill_llama_70b,1191.9360000000001,0.6296,,mock_aime,0.5139,2025-01-20
claude_sonnet_4_20250514,1179.366,1.0965,,mock_aime,0.5333,2025-05-22
o1_mini_2024_09_12,838.716,0.8523,,mock_aime,0.4472,2024-09-12
gpt_4_1_mini_2025_04_14,837.87,0.7657,,mock_aime,0.4472,2025-04-14
gpt_4_1_2025_04_14,632.328,0.8804,,mock_aime,0.3833,2025-04-14
accounts_fireworks_models_deepseek_v3_0324,606.018,0.8036,,mock_aime,0.3778,
gpt_4_5_preview_2025_02_27,587.8979999999999,0.7115,,mock_aime,0.3778,2025-02-27
o1_preview_2024_09_12,481.93199999999996,1.0484,,mock_aime,0.3111,2024-09-12
mistral_medium_2505,435.87,0.7007,,mock_aime,0.3222,2025-05-07
gemini_2_0_flash_001,418.428,0.7271,,mock_aime,0.3111,2025-02-05
gpt_4_1_nano_2025_04_14,380.76,0.7603,,mock_aime,0.2889,2025-04-14
accounts_fireworks_models_deepseek_v3,299.57399999999996,1.6029,,mock_aime,0.1583,
gemma_3_27b_it,278.85,0.9986,,mock_aime,0.1972,2025-03-12
meta_llama_llama_4_maverick_17b_128e_instruct_fp8,278.004,0.9308,,mock_aime,0.2056,
gemini_1_5_pro_002,208.446,0.579,,mock_aime,0.2306,2024-09-24
phi_4,190.79399999999998,0.9727,,mock_aime,0.1375,2024-12-12
claude_2_1,173.994,2.7693,,mock_aime,0.0194,2023-11-21
gpt_4_turbo_2024_04_09,167.274,1.4539,,mock_aime,0.0667,2024-04-09
qwen_plus_2025_01_25,166.338,0.6667,,mock_aime,0.1778,2025-01-25
meta_llama_llama_4_scout_17b_16e_instruct,162.58200000000002,1.2824,,mock_aime,0.0778,
mistral_small_2501,153.696,1.5184,,mock_aime,0.0528,2025-01-25
mistral_small_2503,152.19,1.4317,,mock_aime,0.0583,2025-03-17
gpt_4o_2024_11_20,144.708,1.317,,mock_aime,0.0625,2024-11-20
qwen_max_2025_01_25,138.684,0.6463,,mock_aime,0.1611,2025-01-25
qwen_turbo_2024_11_01,133.206,1.2356,,mock_aime,0.0611,2024-11-01
gemma_2_9b_it,119.664,2.671,,mock_aime,0.0056,2024-06-24
claude_3_sonnet_20240229,118.17,1.6667,,mock_aime,0.025,2024-02-29
gemini_1_5_flash_002,111.378,0.5605,,mock_aime,0.1625,2024-09-24
meta_llama_meta_llama_3_70b_instruct,101.364,1.1954,,mock_aime,0.0431,
gemini_1_5_pro_001,99.93599999999999,0.9504,,mock_aime,0.0681,2024-05-24
