date,model,horizon
2021-10-25,10.3.x,166
2021-11-08,10.4.x,275
2021-11-23,10.5.x,209
2021-12-12,10.6.x,758
2021-12-25,10.8.x,205
2022-01-19,10.9.x,16
2022-02-04,10.10.x,10
2022-04-06,10.11.x,21
2022-05-31,10.12.x,62
2022-09-06,10.69.x,35
2023-03-27,11.3.x,37
2023-05-24,11.4.x,68
2024-02-21,12.2.x,3
2024-03-15,12.3.x,80
2024-07-11,12.4.x,147
2024-07-24,12.5.x,103
2024-11-30,13.2.x,501
2025-01-14,12.6.x,166
