date,model,horizon
2022-02-01,10.10.x,58
2022-04-03,10.11.x,118
2022-05-18,10.12.x,128
2022-08-21,10.69.x,138
2023-02-14,11.3.x,180
2023-04-17,11.4.x,122
2024-03-12,12.3.x,292
2024-10-01,12.5.x,220
2024-12-31,12.6.x,300
2024-12-01,13.2.x,478
