model,horizon
anthropic_claude_3_opus,6.422825
anthropic_claude_3_5_sonnet_latest,28.983512
anthropic_claude_3_5_sonnet_old,18.21683
anthropic_claude_3_7_sonnet,54.226342
openai_gpt_2,0.039792
openai_gpt_4_0125,5.366063
openai_gpt_4_0314,5.364045
openai_gpt_4_1106,8.557433
openai_gpt_4_turbo,6.567339
openai_gpt_4o_2024_05_13,9.17045
openai_davinci_002,0.14886
openai_gpt_3_5_turbo_instruct,0.604514
openai_o1,39.206576
openai_o1_preview,22.221357
